Continent,Non-State,Country,Country Code,Legal (all genders),Age Of consent,Gender,Penalising text,Promotion/Morality,Ma.x Sentences (M)onths and (Y)ears,Death Sentence,Arrests in past 3 years?,Ban on NGOs,NRHI - SO-inclusive? ,Constitution Protection,Employment Protection,Other Protection,Hate Crime Protection,Incitemenrt Protection,CT Ban Protection,Marriage Recognition,Civil recognition,Joint adoption,2nd parent adoption,GDP (current US$) - 2007,GDP (current US$) - 2008,GDP (current US$) - 2009,GDP (current US$) - 2010,GDP (current US$) - 2011,GDP (current US$) - 2012,GDP (current US$) - 2013,GDP (current US$) - 2014,GDP (current US$) - 2015,GDP (current US$) - 2016,GDP (current US$) - 2017,Research and development expenditure (% of GDP) - 2007,Research and development expenditure (% of GDP) - 2008,Research and development expenditure (% of GDP) - 2009,Research and development expenditure (% of GDP) - 2010,Research and development expenditure (% of GDP) - 2011,Research and development expenditure (% of GDP) - 2012,Research and development expenditure (% of GDP) - 2013,Research and development expenditure (% of GDP) - 2014,Research and development expenditure (% of GDP) - 2015,Research and development expenditure (% of GDP) - 2016,Research and development expenditure (% of GDP) - 2017,GDP per capita (current US$) - 2007,GDP per capita (current US$) - 2008,GDP per capita (current US$) - 2009,GDP per capita (current US$) - 2010,GDP per capita (current US$) - 2011,GDP per capita (current US$) - 2012,GDP per capita (current US$) - 2013,GDP per capita (current US$) - 2014,GDP per capita (current US$) - 2015,GDP per capita (current US$) - 2016,GDP per capita (current US$) - 2017
EU,,Finland,FIN,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,2.56E+11,2.85E+11,2.52E+11,2.49E+11,2.75E+11,2.58E+11,2.71E+11,2.74E+11,2.35E+11,2.41E+11,2.54E+11,3.5478,3.74883,3.72598,3.63881,3.41948,3.28719,3.16931,3.16931,2.74645,2.76179,,48414.84509,53554.03892,47293.99283,46459.97325,51081.99767,47710.79022,49878.04324,50260.29986,42811.21299,43777.44009,46191.93116
EU,,France,FRA,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.59E+12,2.6117,2.2127,2.17857,2.19161,2.2277,2.2373,2.27592,2.27592,2.2485,2.18868,,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.93409,43008.64738,36613.37522,36962.22229,38679.12715
EU,,Georgia,GEO,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189491403,17627060089,14953950557,15141758567,16242956764,,,,,,0.8367,0.1849,0.1849,0.314,0.28955,,2635.353882,3324.735879,2822.66743,3233.295943,4021.743306,4421.818242,4623.729554,4739.203565,4014.185944,4062.169888,4357.011625
EU,,Germany,DEU,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,3.42E+12,3.73E+12,3.40E+12,3.40E+12,3.74E+12,3.53E+12,3.73E+12,3.88E+12,3.36E+12,3.47E+12,3.66E+12,2.59712,2.72644,2.71367,2.79562,2.86813,2.8215,2.87289,2.87289,2.93168,3.3529,,41587.2129,45427.15168,41485.90165,41531.9342,46644.77603,43858.36306,46285.76407,47959.99327,41139.54457,42098.92045,44240.04411
EU,,Greece,GRC,Legal,Unequal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,3.18E+11,3.54E+11,3.30E+11,2.99E+11,2.88E+11,2.46E+11,2.40E+11,2.37E+11,1.97E+11,1.95E+11,2.03E+11,0.66183,0.62557,0.59838,0.67196,0.69957,0.81131,0.8333,0.8333,1.7,1.14384,,28827.32636,31997.28201,29710.9703,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18167.77372,18116.45962,18883.46007
EU,,Hungary,HUN,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,1.40E+11,1.58E+11,1.31E+11,1.31E+11,1.41E+11,1.28E+11,1.35E+11,1.41E+11,1.25E+11,1.28E+11,1.42E+11,0.9796,1.13212,1.13945,1.18897,1.26362,1.3889,1.35339,1.35339,1.266,1.35467,,13918.96019,15753.47328,13046.48101,13113.52596,14150.96673,12918.24752,13687.2461,14246.1098,12651.56834,12992.37567,14457.60876
EU,,Iceland,ISL,Legal,Equal,NA,NA,NA,NA,No,No,Yes,None,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,21514962937,17905251832,13164652894,13683689802,15158548597,14724078264,16033517529,17758089312,17344165907,20716024757,24489493459,2.52222,2.63933,,2.48344,,1.75515,1.99923,1.99923,2.754,2.17877,,69054.2708,56409.77346,41333.41987,43024.92384,47516.87574,45910.0209,49522.23697,54242.05468,52428.59576,61757.94931,71314.7742
EU,,Ireland,IRL,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,2.70E+11,2.75E+11,2.36E+11,2.22E+11,2.37E+11,2.25E+11,2.39E+11,2.58E+11,2.92E+11,3.01E+11,3.35E+11,1.38776,1.6823,1.59294,1.5549,1.55723,1.5627,1.5172,1.5172,1.15245,1.4382,,61359.74138,61262.10056,52105.15248,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237,69649.88274
EU,,Italy,ITA,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,2.21E+12,2.40E+12,2.19E+12,2.13E+12,2.29E+12,2.09E+12,2.14E+12,2.16E+12,1.84E+12,1.88E+12,1.96E+12,1.16367,1.22126,1.22311,1.2984,1.2787,1.3768,1.3431,1.3431,1.37848,1.3629,,37822.66524,40778.34274,37079.75867,36000.52012,38599.06221,35053.52624,35549.9747,35518.41529,30230.2263,30936.12544,32326.84175
EU,,Kosovo,XKX,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,4655899261,5687361945,5653823284,5830415894,6692431193,6499759733,7071982209,7386883375,6440067650,6714726770,7227700023,,,,,,,,,,,,2685.986222,3254.788415,3209.71146,3283.483451,3736.700833,3600.575965,3876.970676,4054.71697,3574.24112,3697.129595,3948.05267
EU,,Latvia,LVA,Legal,Equal,NA,NA,NA,NA,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,30897981124,35657998831,26250900751,23796118301,28246551197,28170812352,30276485436,31382780146,27090019663,27734140217,30198231776,0.58139,0.45271,0.6178,0.69662,0.66424,0.6122,0.6893,0.6893,0.44292,0.51347,,14042.46242,16376.99836,12257.21657,11344.69337,13713.85531,13847.78511,15043.11756,15740.32675,13698.93795,14153.41492,15548.08231
EU,,Liechtenstein,LIE,Legal,Equal,NA,NA,NA,NA,No,No,Yes,None,No,No,No,No,No,No,No,Yes,No,No,4601299567,5081432924,4504549214,5082366478,5739977477,5456009385,6391735894,6657170923,6268391521,6214633651,,,,,,,,,,,,,130655.637,143255.9816,126082.4926,141200.38,158156.5998,149010.2249,173058.3174,178845.631,167290.94,165028.245,
